model,component,interest,sparsity,endog,exog,component_time,success,success_time,accuracy,execution_id
univariateTS,Sensor-0.25_0_0.2,-0.976483723445843,0.0491958372753074,1,0,149291,21,149287,-4.983712962258232,I-120-12-6
univariateTS,Sensor-0.25_0_0.4,-0.0373265573723207,0.0491958372753074,1,0,204805,21,204804,-4.945746236765897,I-120-12-6
univariateTS,Sensor-0.25_0_0.6,0.2925792827710289,0.0491958372753074,1,0,174210,21,174209,-919.347317573989,I-120-12-6
univariateTS,Sensor-0.5_0_0.2,-1.2696627631747437,0.0491958372753074,1,0,210394,21,210393,-70.0306907281544,I-120-12-6
univariateTS,Sensor-0.5_0_0.4,-0.7470872778455051,0.0491958372753074,1,0,146203,21,146203,-2.4593566937805496,I-120-12-6
univariateTS,Sensor-0.5_0_0.6,0.1807769443530679,0.0491958372753074,1,0,144652,21,144650,-2256.4376969491445,I-120-12-6
univariateTS,Sensor-0.8_0_0.2,0.7802458064573601,0.0491958372753074,1,0,111768,21,111766,-192.22387281414225,I-120-12-6
univariateTS,Sensor-0.8_0_0.4,-3.4618590743466005,0.0491958372753074,1,0,163494,21,163494,-185.7818216743314,I-120-12-6
univariateTS,Sensor-0.8_0_0.6,-0.2838162898639806,0.0491958372753074,1,0,120092,21,120090,-76.68717526306521,I-120-12-6
univariateTS,Sensor-0_0_0.2,-0.2964004008189442,0.0491958372753074,1,0,152031,21,152030,-9.70501188505746,I-120-12-6
univariateTS,Sensor-0_0_0.4,-0.007636303991797,0.0491958372753074,1,0,180316,21,180318,-7.682494281319615,I-120-12-6
univariateTS,Sensor-0_0_0.6,0.473847255481214,0.0491958372753074,1,0,144934,20,144041,-32.927052611305434,I-120-12-6
decisionTree,ALL,-0.0726417121538365,0.0491958372753074,-1,-1,466,20,-1,-5017.316672077379,I-120-12-6
randomForest,ALL,-0.0673262312317795,0.0491958372753074,-1,-1,1013,20,-1,-4982.984031623343,I-120-12-6
timeDecisionTree,Sensor-0.25_0_0.2,-0.9721963958204034,0.048780487804878,1,0,215,20,-1,0.0,I-120-12-5
timeDecisionTree,Sensor-0.25_0_0.4,-0.0008830307219089,0.048780487804878,1,0,214,20,-1,-2.921758414386751,I-120-12-5
timeDecisionTree,Sensor-0.25_0_0.6,-11.166239924460433,0.048780487804878,1,0,214,20,-1,-4291.992789290423,I-120-12-5
timeDecisionTree,Sensor-0.5_0_0.2,-3.57946587362422,0.048780487804878,1,0,220,20,-1,-17.06227607473249,I-120-12-5
timeDecisionTree,Sensor-0.5_0_0.4,-0.1255023813557194,0.048780487804878,1,0,215,20,-1,-495.3788964059767,I-120-12-5
timeDecisionTree,Sensor-0.5_0_0.6,-6.377779981829559,0.048780487804878,1,0,216,20,-1,-21.855173290310454,I-120-12-5
timeDecisionTree,Sensor-0.8_0_0.2,-0.6233712336761612,0.048780487804878,1,0,221,20,-1,-1.6932126947094577,I-120-12-5
timeDecisionTree,Sensor-0.8_0_0.4,-0.2557965004166465,0.048780487804878,1,0,214,20,-1,-19.50322535341588,I-120-12-5
timeDecisionTree,Sensor-0.8_0_0.6,-1.904631162938152,0.048780487804878,1,0,214,20,-1,-3.5690829758596445,I-120-12-5
